
2026/05/11 (23:02:43) | ===> btop++ v.1.3.0
2026/05/11 (23:02:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/05/11 (23:07:09) | INFO: Logger set to INFO

2026/05/11 (23:09:52) | ===> btop++ v.1.3.0
2026/05/11 (23:09:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/12 (00:07:45) | ===> btop++ v.1.3.0
2026/05/12 (00:07:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/12 (09:37:55) | ===> btop++ v.1.3.0
2026/05/12 (09:37:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/12 (12:59:51) | ===> btop++ v.1.3.0
2026/05/12 (12:59:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/12 (21:57:04) | ===> btop++ v.1.3.0
2026/05/12 (21:57:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/13 (18:05:46) | ===> btop++ v.1.3.0
2026/05/13 (18:05:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/14 (17:22:18) | ===> btop++ v.1.3.0
2026/05/14 (17:22:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
